residual_scale,episodes,mean_hits,std_hits,mean_reward,std_reward,mean_sim_time,survival_rate
0.0,20,22.1,15.293462655657809,123.30008530303137,87.59318321504274,10.337050000000088,0.25
0.001,20,23.65,14.67404170636025,132.78610908957498,85.85488068162395,11.069050000000269,0.3
0.002,20,26.5,15.173990905493518,144.7695747706528,86.67458362886376,12.314700000000325,0.3
0.003,20,26.35,14.280318623896317,147.38790394782106,79.94325128842299,13.084350000000086,0.35
0.004,20,25.35,15.047508099349871,141.39550830004606,84.41694596262951,12.414550000000425,0.4
0.005,20,25.3,14.018202452525786,140.65833428476677,81.23382129399967,11.917400000000141,0.35
0.006,20,25.35,12.598710251450344,140.3521706099721,71.37603591049711,12.776150000000317,0.35
0.007,20,27.3,11.9,151.9624811305421,66.40420524621109,13.559900000000425,0.4
0.008,20,25.35,12.446987587364262,140.08526005839238,70.03929311133113,12.855199999999988,0.25
0.009,20,26.2,12.436237373096414,145.44897525782523,70.2757610683555,13.021349999999913,0.25
0.01,20,30.35,10.57012298887766,165.27545076709066,59.13048019880484,14.802549999999759,0.3
0.011,20,21.0,11.52822622956368,115.98823790337141,61.78847559223753,10.75630000000044,0.25
0.012,20,23.9,11.157508682497184,129.09065201596178,62.20912140406498,11.440700000000103,0.25
0.013,20,21.05,10.151231452390395,115.98804507416389,59.203579875443864,10.337949999999802,0.1
0.014,20,21.55,13.850902497671406,118.63857019644145,77.02791689188088,10.923399999999896,0.25
